Anaphylaxis
Generated by ADVANCE Code Mapper

History
Step, Arguments
vocabularies, ICD10, ICD10CM, ICD9CM, ICPC2P, RCD
semantic types, T020, T190, T049, T019, T047, T050, T033, T037, T048, T191, T046, T184, T007, T204, T004, T005
initial cuis, C0000729, C0000737, C0002092, C0002111, C0002112, C0002792, C0002994, C0004048, C0005775, C0005778, C0005790, C0005823, C0006100, C0006266, C0007095, C0007129, C0007226, C0008059, C0009264, C0009443, C0009450, C0009498, C0009500, C0009521, C0010340, C0010520, C0011906, C0011923, C0011991, C0013404, C0013502, C0013927, C0015230, C0016006, C0016382, C0016470, C0016701, C0017185, C0018104, C0018787, C0019243, C0019536, C0019588, C0019825, C0020361, C0020517, C0020523, C0020649, C0021167, C0021270, C0022281, C0022885, C0023078, C0024117, C0024899, C0025562, C0026724, C0026827, C0027051, C0027497, C0027551, C0028405, C0031511, C0032343, C0033774, C0034571, C0035203, C0035237, C0036658, C0036751, C0036974, C0037088, C0037383, C0038450, C0038585, C0038644, C0038894, C0038895, C0039070, C0039231, C0039712, C0040408, C0041657, C0042109, C0042173, C0042317, C0042963, C0043144, C0043309, C0068131, C0086143, C0126013, C0147080, C0150618, C0153377, C0176210, C0178913, C0178987, C0179834, C0205246, C0205286, C0205433, C0205489, C0221292, C0221444, C0224153, C0231835, C0234192, C0234892, C0238462, C0240211, C0332140, C0332157, C0332196, C0332521, C0333047, C0334299, C0340865, C0342008, C0344329, C0355054, C0392196, C0425468, C0425580, C0425710, C0425716, C0426576, C0427579, C0439092, C0439093, C0439237, C0439275, C0439475, C0441509, C0442816, C0445106, C0456947, C0456948, C0456949, C0458827, C0460002, C0475858, C0488055, C0521346, C0521362, C0521989, C0540301, C0542538, C0543467, C0580272, C0600420, C0680063, C0686904, C0689399, C0700292, C0708013, C0718579, C0719425, C0750016, C0780681, C0849916, C0857172, C0871468, C0871470, C0995815, C1116455, C1123023, C1140263, C1168028, C1260880, C1265431, C1265570, C1272517, C1274039, C1276802, C1305923, C1306620, C1306645, C1314973, C1394418, C1442447, C1442450, C1442451, C1442460, C1442770, C1446194, C1455667, C1456649, C1457907, C1513895, C1516559, C1518922, C1521802, C1522642, C1524119, C1527304, C1542834, C1551576, C1655045, C1704241, C1704259, C1704318, C1704347, C1704387, C1705987, C1707310, C1714886, C1821572, C1829025, C1882041, C1962945, C1965681, C1980011, C3274161, C3463871, C3539909, C3665375, C3714660, C3813192, C3844700

Concepts
Name, CUI, Vocabulary, Code
Wheezing, C0043144, ICD10CM, R06.2
Shock, C0036974, ICD10CM, R57.9
anaphylaxis, C0002792, ICD10CM, T78.2
Hoarseness, C0019825, ICD10CM, R49.0
Tachypnea, C0231835, ICD10CM, R06.82
Merkel cell carcinoma, C0007129, ICD10CM, C4A
Merkel cell carcinoma, C0007129, ICD10CM, C4A.9
Angioedema, C0002994, ICD10CM, T78.3
Malignant neoplasm of uvula, C0153377, ICD10CM, C05.2
Hypoxemia, C0700292, ICD10CM, R09.02
"Embolism, Amniotic Fluid", C0013927, ICD10CM, O88.1
Carcinoid Tumor, C0007095, ICD10CM, D3A.00
Poisoning, C0032343, ICD10CM, T65.91
Mastocytosis, C0024899, ICD10CM, Q82.2
Anaphylactoid reaction, C0340865, ICD10CM, T88.6
Allergic Reaction, C1527304, ICD10CM, T78.40
Dyspnea, C0013404, ICD9CM, 786.05
Syncope, C0039070, ICD9CM, 780.2
Pruritus, C0033774, ICD9CM, 698.9
Hypotension, C0020649, ICD9CM, 458
Hypotension, C0020649, ICD9CM, 458.9
Urticaria, C0042109, ICD9CM, 708
Urticaria, C0042109, ICD9CM, 708.9
Echinococcosis, C0013502, ICD9CM, 122
Common Cold, C0009443, ICD9CM, 460
Tachycardia, C0039231, ICD9CM, 785.0
Diarrhea, C0011991, ICD9CM, 787.91
Abdominal Pain, C0000737, ICD9CM, 789.0
Abdominal Pain, C0000737, ICD9CM, 789.00
Exanthema, C0015230, ICD9CM, 782.1
Cyanosis, C0010520, ICD9CM, 782.5
Sudden infant death syndrome, C0038644, ICD9CM, 798.0
Stridor, C0038450, ICD9CM, 786.1
Flushing, C0016382, ICD9CM, 782.62
Wheezing, C0043144, ICD9CM, 786.07
Shock, C0036974, ICD9CM, 785.50
Tachypnea, C0231835, ICD9CM, 786.06
Malignant neoplasm of uvula, C0153377, ICD9CM, 145.4
Hypoxemia, C0700292, ICD9CM, 799.02
"Embolism, Amniotic Fluid", C0013927, ICD9CM, 673.1
"Embolism, Amniotic Fluid", C0013927, ICD9CM, 673.10
Dyspnea, C0013404, ICPC2P, R02001
Dyspnea, C0013404, ICPC2P, R02002
Dyspnea, C0013404, ICPC2P, R02004
Dyspnea, C0013404, ICPC2P, R02007
Syncope, C0039070, ICPC2P, A06003
Syncope, C0039070, ICPC2P, A06005
Syncope, C0039070, ICPC2P, A06009
Syncope, C0039070, ICPC2P, A06012
Pruritus, C0033774, ICPC2P, S02002
Pruritus, C0033774, ICPC2P, S02004
Pruritus, C0033774, ICPC2P, S02006
Pruritus, C0033774, ICPC2P, S02007
Hypersensitivity, C0020517, ICPC2P, A12007
Hypersensitivity, C0020517, ICPC2P, A12009
Hypersensitivity, C0020517, ICPC2P, A92007
Hypersensitivity, C0020517, ICPC2P, A92008
Vomiting, C0042963, ICPC2P, D10001
Vomiting, C0042963, ICPC2P, D10003
Vomiting, C0042963, ICPC2P, D10004
Hypotension, C0020649, ICPC2P, K29022
Hypotension, C0020649, ICPC2P, K88001
Hypotension, C0020649, ICPC2P, K88006
Urticaria, C0042109, ICPC2P, S98001
Urticaria, C0042109, ICPC2P, S98003
Echinococcosis, C0013502, ICPC2P, D22013
Echinococcosis, C0013502, ICPC2P, D22021
Echinococcosis, C0013502, ICPC2P, D96016
Echinococcosis, C0013502, ICPC2P, D96022
Common Cold, C0009443, ICPC2P, R74003
Common Cold, C0009443, ICPC2P, R74004
Common Cold, C0009443, ICPC2P, R74010
Common Cold, C0009443, ICPC2P, R74012
Sneezing, C0037383, ICPC2P, R07009
Tachycardia, C0039231, ICPC2P, K04003
Tachycardia, C0039231, ICPC2P, K04004
Tachycardia, C0039231, ICPC2P, K04014
Chronic Obstructive Airway Disease, C0024117, ICPC2P, R95001
Chronic Obstructive Airway Disease, C0024117, ICPC2P, R95002
Chronic Obstructive Airway Disease, C0024117, ICPC2P, R95004
Chronic Obstructive Airway Disease, C0024117, ICPC2P, R95009
Diarrhea, C0011991, ICPC2P, D11001
Diarrhea, C0011991, ICPC2P, D11002
Abdominal Pain, C0000737, ICPC2P, D01006
Unconscious State, C0041657, ICPC2P, A06007
Unconscious State, C0041657, ICPC2P, A07003
Unconscious State, C0041657, ICPC2P, A07005
Cyanosis, C0010520, ICPC2P, K29005
Cyanosis, C0010520, ICPC2P, S08011
Stridor, C0038450, ICPC2P, R04006
Nausea, C0027497, ICPC2P, D09002
Myocardial Infarction, C0027051, ICPC2P, K75001
Myocardial Infarction, C0027051, ICPC2P, K75013
Myocardial Infarction, C0027051, ICPC2P, K75014
Wheezing, C0043144, ICPC2P, R03002
anaphylaxis, C0002792, ICPC2P, A12004
anaphylaxis, C0002792, ICPC2P, A92005
Rhinorrhea, C1260880, ICPC2P, R07002
Rhinorrhea, C1260880, ICPC2P, R07007
Rhinorrhea, C1260880, ICPC2P, R07008
Hoarseness, C0019825, ICPC2P, R23004
Tachypnea, C0231835, ICPC2P, R04013
Angioedema, C0002994, ICPC2P, A12002
Angioedema, C0002994, ICPC2P, A92010
Abdominal Cramps, C0000729, ICPC2P, D01015
Collapse (finding), C0344329, ICPC2P, A06002
Pheochromocytoma, C0031511, ICPC2P, T73008
Poisoning, C0032343, ICPC2P, A86015
Food Allergy, C0016470, ICPC2P, A92004
Communicable Diseases, C0009450, ICPC2P, A78008
Bronchial Spasm, C0006266, ICPC2P, R03001
Trauma, C3714660, ICPC2P, A80007
Itching of eye, C0022281, ICPC2P, F13004
Lip swelling, C0240211, ICPC2P, D20021
Generalised erythema, C0849916, ICPC2P, S07002
Dyspnea, C0013404, RCD, 1738.
Dyspnea, C0013404, RCD, 173Z.
Dyspnea, C0013404, RCD, R0608
Dyspnea, C0013404, RCD, R060A
Dyspnea, C0013404, RCD, XaBMU
Dyspnea, C0013404, RCD, XE0qq
Syncope, C0039070, RCD, R002.
Syncope, C0039070, RCD, R0021
Syncope, C0039070, RCD, R002z
Syncope, C0039070, RCD, XaBua
Syncope, C0039070, RCD, XM010
Syncope, C0039070, RCD, XM06a
Syncope, C0039070, RCD, XM0CY
Pruritus, C0033774, RCD, Myu2D
Pruritus, C0033774, RCD, Xa13L
Pruritus, C0033774, RCD, XE1BA
Pruritus, C0033774, RCD, XM00q
Hypersensitivity, C0020517, RCD, SN530
Hypersensitivity, C0020517, RCD, X79pp
Hypersensitivity, C0020517, RCD, X79pv
Hypersensitivity, C0020517, RCD, Xa1pQ
Hypersensitivity, C0020517, RCD, Xa1zh
Hypersensitivity, C0020517, RCD, XE1ot
Hypersensitivity, C0020517, RCD, XM0xz
Vomiting, C0042963, RCD, 199Z.
Vomiting, C0042963, RCD, R0701
Vomiting, C0042963, RCD, R0702
Vomiting, C0042963, RCD, X30C6
Vomiting, C0042963, RCD, X76co
Vomiting, C0042963, RCD, Xa7Ur
Vomiting, C0042963, RCD, XE0rA
Hypotension, C0020649, RCD, G87..
Hypotension, C0020649, RCD, G87z.
Hypotension, C0020649, RCD, XM02U
Urticaria, C0042109, RCD, M28..
Urticaria, C0042109, RCD, X75uX
Urticaria, C0042109, RCD, XE1BT
Echinococcosis, C0013502, RCD, AC2..
Echinococcosis, C0013502, RCD, AC2z.
Common Cold, C0009443, RCD, X00kv
Common Cold, C0009443, RCD, XE0Xl
Sneezing, C0037383, RCD, 1C5..
Sneezing, C0037383, RCD, 1C52.
Sneezing, C0037383, RCD, 1C5Z.
Sneezing, C0037383, RCD, R04z3
Sneezing, C0037383, RCD, Xa7uN
Sneezing, C0037383, RCD, XE0sA
Tachycardia, C0039231, RCD, R050.
Tachycardia, C0039231, RCD, X77BL
Tachycardia, C0039231, RCD, XM02G
Chronic Obstructive Airway Disease, C0024117, RCD, H3...
Chronic Obstructive Airway Disease, C0024117, RCD, H3z..
Diarrhea, C0011991, RCD, 19F2.
Diarrhea, C0011991, RCD, Xa7VN
Diarrhea, C0011991, RCD, XE0rN
Diarrhea, C0011991, RCD, XE0rO
Abdominal Pain, C0000737, RCD, 1969.
Abdominal Pain, C0000737, RCD, R090.
Abdominal Pain, C0000737, RCD, R090z
Exanthema, C0015230, RCD, R021.
Exanthema, C0015230, RCD, R0210
Exanthema, C0015230, RCD, R021z
Exanthema, C0015230, RCD, XM07J
Unconscious State, C0041657, RCD, R0003
Unconscious State, C0041657, RCD, X769h
Unconscious State, C0041657, RCD, XM06T
Cyanosis, C0010520, RCD, R025.
Cyanosis, C0010520, RCD, XM07N
Sudden infant death syndrome, C0038644, RCD, R210.
Sudden infant death syndrome, C0038644, RCD, R2100
Sudden infant death syndrome, C0038644, RCD, R2101
Sudden infant death syndrome, C0038644, RCD, R210z
Sudden infant death syndrome, C0038644, RCD, XM09S
Stridor, C0038450, RCD, R061.
Stridor, C0038450, RCD, XM082
Flushing, C0016382, RCD, R0261
Flushing, C0016382, RCD, X50C0
Flushing, C0016382, RCD, XM07Q
Nausea, C0027497, RCD, 198Z.
Nausea, C0027497, RCD, R0700
Nausea, C0027497, RCD, X75qw
Nausea, C0027497, RCD, Xa7ee
Myocardial Infarction, C0027051, RCD, X200E
Wheezing, C0043144, RCD, R0609
Wheezing, C0043144, RCD, XE0qs
Shock, C0036974, RCD, R0550
Shock, C0036974, RCD, XM00r
Shock, C0036974, RCD, XM1C7
anaphylaxis, C0002792, RCD, SN50.
Rhinorrhea, C1260880, RCD, XE0sD
Rhinorrhea, C1260880, RCD, XM00h
Hoarseness, C0019825, RCD, 1CA2.
Hoarseness, C0019825, RCD, 1CAZ.
Hoarseness, C0019825, RCD, R0445
Tachypnea, C0231835, RCD, R0603
Tachypnea, C0231835, RCD, XM07x
Merkel cell carcinoma, C0007129, RCD, BB5RA
Merkel cell carcinoma, C0007129, RCD, X77nR
Merkel cell carcinoma, C0007129, RCD, X78T9
Angioedema, C0002994, RCD, SN51.
Malignant neoplasm of uvula, C0153377, RCD, B054.
Hypoxemia, C0700292, RCD, R2y01
Hypoxemia, C0700292, RCD, XM09U
Carcinoid Tumor, C0007095, RCD, BB5R.
Carcinoid Tumor, C0007095, RCD, BB5R0
Carcinoid Tumor, C0007095, RCD, BB5Rz
Basophilic leukemia, C0221292, RCD, BBr7.
Basophilic leukemia, C0221292, RCD, BBr70
Basophilic leukemia, C0221292, RCD, BBr7z
Basophilic leukemia, C0221292, RCD, XaBAm
Abdominal Cramps, C0000729, RCD, R0904
Abdominal Cramps, C0000729, RCD, X76dT
Collapse (finding), C0344329, RCD, R0023
Collapse (finding), C0344329, RCD, XM06c
Pheochromocytoma, C0031511, RCD, BBD9.
Pheochromocytoma, C0031511, RCD, Xa99P
Poisoning, C0032343, RCD, XE1oH
Mastocytosis, C0024899, RCD, PH321
Amniotic fluid pulmonary embolism, C0342008, RCD, L431.
Amniotic fluid pulmonary embolism, C0342008, RCD, L4310
Amniotic fluid pulmonary embolism, C0342008, RCD, L431z
Gastrointestinal symptom, C0426576, RCD, 19Z..
Gastrointestinal symptom, C0426576, RCD, 19ZZ.
Gastrointestinal symptom, C0426576, RCD, XE0r3
Signs and Symptoms, C0037088, RCD, XaBVJ
Signs and Symptoms, C0037088, RCD, XM06O
Muscle hypotonia, C0026827, RCD, X76qQ
Muscle hypotonia, C0026827, RCD, XM041
Food Allergy, C0016470, RCD, Xa1aX
Communicable Diseases, C0009450, RCD, A....
Bronchial Spasm, C0006266, RCD, Xa0Ns
Medullary carcinoma of thyroid, C0238462, RCD, X78cT
Medullary carcinoma of thyroid, C0238462, RCD, Xa98x
Anaphylactoid reaction, C0340865, RCD, X208h
Trauma, C3714660, RCD, XA001
Observation of Sensation, C0542538, RCD, XM04Q
Generalized pruritus, C0475858, RCD, Xa05c
Peak expiratory flow rate, C1542834, RCD, XE2wr
Gastrointestinal Neoplasms, C0017185, RCD, Xa0DI
"Angioedemas, Hereditary", C0019243, RCD, C3760
Accessory respiratory muscles used, C0425468, RCD, XM01h
Pulse volume, C0425580, RCD, X76JS
Peripheral perfusion, C0425710, RCD, X76Li

Case definition
1. Event definition & validity classifications

"Anaphylaxis is a ‘severe, life-threatening generalised or systemic hypersensitivity reaction’. Several working definitions of anaphylaxis have been formulated to aid clinical diagnosis and management. The most well-known of these is the consensus clinical definition proposed by Sampson et al., which involved representatives of a number of international allergy organisations, including the European Academy of Allergy and Clinical Immunology (EAACI). (1) (2) MedDRA PT includes anaphylactic reaction, anaphylactic shock, anaphyloctoid reaction, anaphylactoid shock. Please note the proposed case definition is limited to anaphylactic shock. "
"In July 2005, the National Institute of Allergy and Infectious Disease and Food Allergy and Anaphylaxis Network convened a second meeting on anaphylaxis, which included representatives from 16 different organizations or government bodies, including representatives from North America, Europe, and Australia, to continue working toward a universally accepted definition of anaphylaxis"
National (US) Institute of Allergy and Infectious Disease/Food Allergy and Anaphylaxis Network symposium
Clinical criteria for diagnosing anaphylaxis.(2)
Anaphylaxis is highly likely when any one of the following 3 criteria are fulfilled:
"1. Acute onset of an illness (minutes to several hours) with involvement of the skin, mucosal tissue, or both (eg, generalized hives, pruritus or flushing, swollen lips-tongue-uvula)"
AND AT LEAST ONE OF THE FOLLOWING
" a. Respiratory compromise (eg, dyspnea, wheeze-bronchospasm, stridor, reduced PEF, hypoxemia)"
" b. Reduced BP or associated symptoms of end-organ dysfunction (eg, hypotonia [collapse], syncope, incontinence)"
2. Two or more of the following that occur rapidly after exposure to alikelyallergen for that patient (minutes to several hours):
" a. Involvement of the skin-mucosal tissue (eg, generalized hives, itch-flush, swollen lips-tongue-uvula)"
" b. Respiratory compromise (eg, dyspnea, wheeze-bronchospasm, stridor, reduced PEF, hypoxemia)"
" c. Reduced BP or associated symptoms (eg, hypotonia [collapse], syncope, incontinence)"
" d. Persistent gastrointestinal symptoms (eg, crampy abdominal pain, vomiting)"
3. Reduced BP after exposure to known allergen for that patient (minutes to several hours):
 a. Infants and children: low systolic BP (age specific) or greater than 30% decrease in systolic BP*
 b. Adults: systolic BP of less than 90 mm Hg or greater than 30% decrease from that person’s baseline
"PEF, Peak expiratory flow; BP, blood pressure."

"* Low systolic blood pressure for children is defined as less than 70 mm Hg from 1 month to 1 year, less than (70 mm Hg + [2 × age]) from 1 to 10 years, and less than 90 mm Hg from 11 to 17 years."

Brighton Collaboration Criteria 2007  (3)
For all levels of diagnostic certainty
 Anaphylaxis is a clinical syndrome characterized by
  • sudden onset AND
  • rapid progression of signs and symptoms AND
"  • involving multiple (≥2) organ systems, as follows"

 Level 1 of diagnostic certainty
  • ≥1 major dermatological AND
  • ≥1 major cardiovascular AND/OR ≥1 major respiratory criterion

 Level 2 of diagnostic certainty
  • ≥1 major cardiovascular AND ≥1 major respiratory criterion OR
  • ≥1 major cardiovascular OR respiratory criterion AND
  • ≥1 minor criterion involving ≥1 different system (other than cardiovascular or respiratory systems) OR
  • (≥1 major dermatologic) AND (≥1 minor cardiovascular AND/OR minor respiratory criterion)

 Level 3 of diagnostic certainty
  • ≥1 minor cardiovascular OR respiratory criterion AND
  • ≥1 minor criterion from each of ≥2 different systems/categories
The case definition should be applied when there is no clear alternative diagnosis for the reported event to account for the combination of symptoms.

Major criteria
Dermatologic or mucosal	
• generalized urticaria (hives) or generalized erythema
"• angioedema*, localized or generalized"
• generalized pruritus with skin rash

Cardiovascular	
• measured hypotension
"• clinical diagnosis of uncompensated shock, indicated by the combination of at least 3 of the following:"
 • tachycardia
 • capillary refill time >3 s
 • reduced central pulse volume
 • decreased level of consciousness or loss of consciousness

Respiratory	
• bilateral wheeze (bronchospasm)
• stridor
"• upper airway swelling (lip, tongue, throat, uvula, or larynx)"
• respiratory distress—2 or more of the following:
 • tachypnoea
" • increased use of accessory respiratory muscles (sternocleidomastoid, intercostals, etc.)"
 • recession
 • cyanosis
 • grunting
*
Not hereditary angioedema.

Minor criteria
dermatologic or mucosal	
• generalized pruritus without skin rash
• generalized prickle sensation
• localized injection site urticaria
• red and itchy eyes

Cardiovascular	
• reduced peripheral circulation as indicated by the combination of at least 2 of
 • tachycardia and
 • a capillary refill time of >3 s without hypotension
 • a decreased level of consciousness

Respiratory	
• persistent dry cough
• hoarse voice
• difficulty breathing without wheeze or stridor
• sensation of throat closure
"• sneezing, rhinorrhea"

Gastrointestinal	
• diarrhoea
• abdominal pain
• nausea
• vomiting

Laboratory	
• Mast cell tryptase elevation > upper normal limit
2. Synonyms / lay terms used
(please search/google/used medical textbooks & literature or lay terms)
Severe immediate type I  hypersensitivity reaction


3. Laboratory tests done specific for event (4)
(please search/google/used medical textbooks & literature)
Histamine*
"Obtain blood sample within 15 minutes to 1 hour of symptom onset* (use wide-bore needle, keep sample cold (at 4 degrees C), centrifuge it promptly, and freeze plasma promptly). Twenty-four-hour urine histamine and N-methylhistamine measurements might also be helpful."

"Total tryptase* (pro, pro9, and mature forms of a/b-tryptases)"
"Obtain blood sample within 15 minutes to 3 hours of symptom onset. Obtained 24 hours after resolution of the acute event or on stored serum, if available (levels are stable for ≥1 year if stored at -20 degrees C)."

"*Increases of histamine and tryptase levels are not specific for anaphylaxis. For example, histamine levels are increased in patients with scombroid poisoning and tryptase levels are"
"increased in patients with myocardial infarction, trauma, amniotic fluid embolus, and sudden infant death syndrome"

Consider comparing the levels measured during the acute episode with a baseline level.
"If higher during the acute episode than in baseline serum, the diagnosis of anaphylaxis is confirmed. If greater than 11.4 ng/mL in both acute and baseline sera, the diagnosis of mastocytosis or clonal mast cell disorder should be considered."
"If within normal limits during the acute episode, the diagnosis of anaphylaxis cannot be excluded."
"Total tryptase level can be measured in postmortem serum. Blood samples should be obtained from femoral vessels and not the heart; the level needs to be correlated with the clinical history because, as noted above, increased levels are also found in other clinical situations, such as myocardial infarction, trauma, amniotic fluid embolism, and sudden infant death syndrome"
"Additional laboratory tests. When sorting out the differential diagnosis of anaphylaxis, the detailed clinical history and physical examination might suggest the need for additional laboratory tests to confirm or rule out diseases such as mastocytosis, basophilic leukemia, carcinoid (serum serotonin level and urinary 5 hydroxyindoleacetic acid), medullary carcinoma of the thyroid/vasoactive polypeptide–secreting gastrointestinal tumor (substance P and vasointestinal polypeptide), pheochromocytoma (free metanephrine in plasma and urinary vanillylmandelic acid), hereditary angioedema (C4 and C1 esterase inhibitor), or diagnostic imaging to confirm or rule out hydatid cysts. Investigation of the complement cascade (C4a, C5a, and C3a), the contact system (bradykinin, high-molecular-weight kininogen, kallikrein–C1-inhibitor complexes, and factor XIIa–C1-inhibitor complexes), and coagulation pathway (factors V, VIII, and fibrinogen), although usually not performed, might support the clinical diagnosis of anaphylaxis; however, these tests also appear to lack specificity"
4. Diagnostic tests done specific for event
"(please search/google/used medical textbooks & literature) (e.g. echo, X-ray)"


5. Drugs used specific for event treatment 
(please search/google/used medical textbooks & literature): these may be proxies to identify/confirm the event
Medication (5)

6. Procedures used specific for event treatment
(please search/google/used medical textbooks & literature) (example surgery) these may be proxies to identify/confirm the event
"As with the treatment of any critically ill patient, the treatment of anaphylaxis begins with a rapid assessment and maintenance of airway, breathing, and circulation."
