Narcolepsy
Generated by ADVANCE Code Mapper

History
Step, Arguments
vocabularies, ICD10, ICD10CM, ICD9CM, ICPC2P, RCD
semantic types, T020, T190, T049, T019, T047, T050, T033, T037, T048, T191, T046, T184, T007, T204, T004, T005
initial cuis, C0000503, C0001688, C0002667, C0002763, C0003289, C0003290, C0004048, C0004927, C0005745, C0007306, C0007384, C0007806, C0007807, C0008059, C0008489, C0009010, C0009392, C0009791, C0011155, C0013144, C0013470, C0013819, C0016365, C0016452, C0022107, C0022885, C0024485, C0025611, C0025810, C0026827, C0026841, C0026846, C0027404, C0027853, C0027868, C0034571, C0034580, C0034673, C0035203, C0036579, C0037313, C0037537, C0038894, C0038895, C0039712, C0041714, C0043012, C0043309, C0043479, C0066677, C0076823, C0078569, C0079460, C0080331, C0086143, C0150593, C0162701, C0162791, C0175668, C0203860, C0205487, C0205494, C0205653, C0221505, C0234146, C0234421, C0234533, C0234853, C0235195, C0235198, C0236993, C0240379, C0241442, C0282631, C0304402, C0305062, C0317909, C0331993, C0332287, C0376561, C0393040, C0424295, C0424522, C0427055, C0439092, C0439093, C0439297, C0441729, C0441795, C0441796, C0456947, C0456948, C0456949, C0460005, C0519186, C0524465, C0543467, C0549465, C0585022, C0600420, C0671870, C0680063, C0683525, C0694563, C0708013, C0746674, C0751226, C0751362, C0780681, C0813142, C0849912, C0851578, C0855247, C0856863, C0870935, C0871468, C0978477, C1080696, C1113688, C1176299, C1262869, C1274039, C1275743, C1280632, C1306645, C1415500, C1456240, C1457907, C1514307, C1521725, C1527908, C1551576, C1655045, C1708063, C1829025, C1834372, C1962945, C1965681, C2612629, C2700369, C2700617, C2707261, C2830004, C2911754, C3540512, C3541276, C3841822, C3845713
expand concept, C0851578, C0917801, C0037315, C0154565, C0917799, C0877792, C0028084, C0037672, C0338497, C0030508, C0037320, C0154572, C0037316, C0206085, C0021603, C0393761, C0020524, C1561892, C0154571, C0020681, C0159030, C0013373, C0021607, C2231106, C0236662, C0029645, C0751509, C0700201, C0476212, C0476211, C0456512, C0270543, C0338496, C0154564, C0393777, C0393757, C0020530, C0393775, C0393776

Concepts
Name, CUI, Vocabulary, Code
Narcolepsy-Cataplexy Syndrome, C0751362, ICD9CM, 347
Narcolepsy-Cataplexy Syndrome, C0751362, ICD9CM, 347.01
Neuromuscular Diseases, C0027868, ICD9CM, 358
Neuromuscular Diseases, C0027868, ICD9CM, 358.9
Narcolepsy, C0027404, ICD9CM, 347.0
Facial Paresis, C0427055, ICD9CM, 438.83
Facial Paresis, C0427055, ICD9CM, 781.94
Irritable Mood, C0022107, ICD9CM, 799.22
Narcolepsy without cataplexy, C1456240, ICD9CM, 347.00
"Hypersomnia, Recurrent", C0751226, ICD9CM, 327.13
Generalized muscle weakness, C0746674, ICD9CM, 728.87
Blepharoptosis, C0005745, ICPC2P, F16002
Blepharoptosis, C0005745, ICPC2P, F16005
Sleep Disorders, C0851578, ICPC2P, P06011
Sleep Disorders, C0851578, ICPC2P, P06012
Sleeplessness, C0917801, ICPC2P, P06003
Sleep Apnea Syndromes, C0037315, ICPC2P, P06014
Sleep Apnea Syndromes, C0037315, ICPC2P, R04011
Nightmares, C0028084, ICPC2P, P06004
Somnambulism, C0037672, ICPC2P, P06002
Sleep Deprivation, C0037316, ICPC2P, P06013
Drowsiness, C0013144, ICPC2P, A04027
Drowsiness, C0013144, ICPC2P, A29015
Drowsiness, C0013144, ICPC2P, P06009
Narcolepsy, C0027404, ICPC2P, N99013
Muscular Atrophy, C0026846, ICPC2P, L19003
Muscular Atrophy, C0026846, ICPC2P, L19015
Muscular Atrophy, C0026846, ICPC2P, L99008
Facial Paresis, C0427055, ICPC2P, N18001
Chorea, C0008489, ICPC2P, N08011
Chorea, C0008489, ICPC2P, N99031
Somnolence, C2830004, ICPC2P, P06006
Irritable Mood, C0022107, ICPC2P, P04003
Unable to concentrate, C0235198, ICPC2P, P20002
Emotional, C0849912, ICPC2P, P01004
Blepharoptosis, C0005745, RCD, F4E30
Blepharoptosis, C0005745, RCD, F4E3z
Blepharoptosis, C0005745, RCD, XM050
Sleep Disorders, C0851578, RCD, R005z
Sleep Disorders, C0851578, RCD, X007q
Sleep Disorders, C0851578, RCD, XM06i
Sleeplessness, C0917801, RCD, R005.
Sleeplessness, C0917801, RCD, R0052
Sleeplessness, C0917801, RCD, X007s
Sleeplessness, C0917801, RCD, XE2Pv
Sleeplessness, C0917801, RCD, XM0yu
Sleep Apnea Syndromes, C0037315, RCD, X0083
Sleep Apnea Syndromes, C0037315, RCD, XaEGP
Non-organic sleep disorder, C0154565, RCD, E2740
Non-organic sleep disorder, C0154565, RCD, E274z
Non-organic sleep disorder, C0154565, RCD, Eu51z
Non-organic sleep disorder, C0154565, RCD, XE2Q5
Hypersomnia, C0917799, RCD, R0054
Hypersomnia, C0917799, RCD, X007w
Hypersomnia, C0917799, RCD, X007x
Hypersomnia, C0917799, RCD, XaC0p
"Sleep Disorders, Circadian Rhythm", C0877792, RCD, R005.
"Sleep Disorders, Circadian Rhythm", C0877792, RCD, X76AE
"Sleep Disorders, Circadian Rhythm", C0877792, RCD, XM06k
Nightmares, C0028084, RCD, E2749
Somnambulism, C0037672, RCD, E2747
Reversed sleep-wake cycle, C0338497, RCD, E274F
Reversed sleep-wake cycle, C0338497, RCD, R0055
Parasomnia, C0030508, RCD, X008H
Night Terrors, C0037320, RCD, E2748
Repetitive intrusions of sleep, C0154572, RCD, XE1Yi
Kleine-Levin Syndrome, C0206085, RCD, X008E
Sleep Initiation and Maintenance Disorders, C0021603, RCD, Fy00.
Middle insomnia, C0393761, RCD, 1B1B1
Middle insomnia, C0393761, RCD, X007v
Disorders of Excessive Somnolence, C0020524, RCD, Fy01.
Sleep-related respiratory failure, C0020681, RCD, X008F
Insomnia with sleep apnea, C0159030, RCD, R0051
Short Sleeper Syndrome, C0751509, RCD, E274E
Dyssomnias, C0700201, RCD, XM06i
Sleep dysfunction with arousal disturbance, C0476212, RCD, R0059
Sleep dysfunction with sleep stage disturbance, C0476211, RCD, R0058
Sleep Starts, C0456512, RCD, Xa0Kl
Alveolar sleep apnea, C0338496, RCD, X0087
Nocturnal Paroxysmal Dystonia, C0393777, RCD, X008G
Other sleep stage or arousal dysfunction, C0393757, RCD, E274C
Hypersomnia with sleep apnea, C0020530, RCD, XE2nU
Sleep-related head banging, C0393775, RCD, X008C
Sleep-Related Painful Erections, C0393776, RCD, X008D
Narcolepsy-Cataplexy Syndrome, C0751362, RCD, F27..
Narcolepsy-Cataplexy Syndrome, C0751362, RCD, F27z.
Drowsiness, C0013144, RCD, R0000
Drowsiness, C0013144, RCD, Xa2bY
Drowsiness, C0013144, RCD, XM06R
Neuromuscular Diseases, C0027868, RCD, F38..
Neuromuscular Diseases, C0027868, RCD, F38z.
Narcolepsy, C0027404, RCD, F271.
Muscular Atrophy, C0026846, RCD, N2320
Muscular Atrophy, C0026846, RCD, X70AE
Facial Paresis, C0427055, RCD, X76nB
Chorea, C0008489, RCD, XM045
Somnolence, C2830004, RCD, R0001
Irritable Mood, C0022107, RCD, XE0rc
Other sleep disorders, C0236993, RCD, Fyu58
Asleep, C0424522, RCD, X769W
Sedated state, C0235195, RCD, R00z4
Sedated state, C0235195, RCD, X769U
Unable to concentrate, C0235198, RCD, Ua1XX
Muscle hypotonia, C0026827, RCD, X76qQ
Muscle hypotonia, C0026827, RCD, XM041
Cataplexy, C0007384, RCD, F270.
Circadian Rhythm Disorders, C0813142, RCD, XM06k
Observation of tone of skeletal muscle, C0549465, RCD, XM03x
Lesion of brain, C0221505, RCD, Xa84i
Generalized seizures, C0234533, RCD, X75Z0
Protrusion of tongue, C0241442, RCD, X76lW
Hyperactive behavior, C0424295, RCD, X764X

Case definition
1. Event definition & validity classifications
Narcolepsy

International Classification of Sleep Disorders (ICSD) (2-5)

Classified as Central disorders of hyper somnolence
"Common feature: daily episodes of an irrepressible need to sleep or daytime lapses into sleep which requires demonstration of objective sleepiness by the multiple sleep latency test (MSLT), a mean sleep latency of < 8 min on the MSLT is required"

"Narcolepsy: requirement of either two SOREMPs on MLST, or a SOREMP on the PSG coupled with at least one SOREMP on the MSLT."

ICSD Second edition  (ICSD-2)
Narcolepsy with cataplexy
Narcolepsy without cataplexy

ICSD Third edition  (ICSD-3)- 2014
Narcolepsy 1
Hallmark is hypocretin deficiency.
"In addition to a subjective complaint of sleepiness, narcolepsy type 1 may be diagnosed by the demonstration of either cerebrospinal fluid hypocretin-1 deficiency (< 110 pg/mL or less than one-third of the normative values with the same standardized assay) or a mean latency of < 8 min on MSLT, with evidence of sleep-onset rapid eye movement periods (SOREMPs) and clear cataplexy (defined as “more than one episode of generally brief [< 2 min], usually bilaterally symmetrical, sudden loss of muscle tone with retained consciousness”). Recent evidence suggests that a SOREMP (< 15 min) on the preceding overnight PSG is highly specific for a diagnosis of narcolepsy (although it lacks sensitivity) and shows significant positive predictive value."

Narcolepsy 2
"Requirements MSLT of a mean latency < 8 min and two SOREMPs (or one SOREMP on PSG and one or more on MSLT). Cataplexy must be absent and cerebrospinal fluid hypocretin-1 levels, if measured, must not meet the narcolepsy type 1 criterion."



Brighton collaboration Criteria(6)

Level 1
In the presence of: Excessive daytime sleepinessa OR Unambiguous cataplexyc
AND CSF hypocretin-1 deficiencyb

Level 2
In the presence of: Excessive daytime sleepinessa AND Unambiguous cataplexyc
AND
MSLTd mean sleep latency ≤8 min in adults OR MSLTd mean sleep latency ≤12 min in children and adolescents OR MSLTd SOREMP ≥2

Level 3
In the presence of: Excessive daytime sleepinessa AND MSLTd mean sleep latency ≤8 min in adults OR MSLTd mean sleep latency ≤12 min in children and adolescents AND MSLTd SOREMP≥2

All levels
"AND in the absence of other mimicking disorders, seee"
a Excessive daytime sleepiness
In adults (≥16 years):
- unintended sleep episodes during the day
AND
- present almost daily for at least one month
In children and adolescents (<16 years):
- an increase in daytime sleep episodes
AND
- present almost daily for at least one month
Note: usually in combination with feelings of subjective sleepiness and
impaired concentration. Sleepiness may also be manifested as irritability
or hyperactivity.
b CSF hypocretin-1 deficiency
"- hypocretin-1 concentration below 110 pg/ml in crude, unextracted CSF."
AND
- measured by the Phoenix radioimmunoassay
AND
- performed in a laboratory according to published guidelines and by using
the Stanford reference sample 
c Unambiguous cataplexy
In adults (≥16 years):
- sudden AND unexpected onset of episodes
AND
- presence of all of the following criteria during episodes (before initiation of treatment):
- partial or generalized muscle weakness
- preserved consciousness
- clear emotional trigger in ≥2 episodes
- duration of <30 s
OR
"- episodes with documented, reversible areflexia AND"
- duration of <30 s
NOT
- partial or generalized seizure OR
- neuromuscular disorders
In children and adolescents (<16 years):
- episodes of cataplexy that fulfill the criteria for adult cataplexy
OR
- the following criteria of pediatric cataplexy:
Pediatric Cataplexy
- sudden AND unexpected onset of episodes
AND
"- loss of muscle tone, e.g., falling during routine activity (i.e. while walking or running), wide-based gait, head droops, prominent facial involvement resulting in “cataplectic facies,” eyelid ptosis, mouth opening, tongue protrusion, facial weakness, facial grimacing, abnormal postures, swaying of the head and trunk, stereotypic movements or chorea-like patterns."
Hypotonia and wide-based gait may also be disclosed at neurological examination
AND
- preserved consciousness
AND
- duration of episodes is a few seconds to several minutes (sometimes present in protracted clusters if emotional triggers continue)
"Note: cataplexy in children may or may not be triggered by ‘emotional’ circumstances (e.g., watching funny cartoons, eating certain foods, playing games or video-games)"
NOT
- partial or generalized seizure OR
- neuromuscular disorders
- any other known explanation
d 4 or 5 nap MSLT performed according to the American Academy of Sleep Medicine  AASM) protocol 
e Exclusion of other conditions
"The following conditions must be clinically/instrumentally assessed, since they could either mimic one or more narcolepsy symptoms (mainly excessive daytime sleepiness) or constitute co-morbidities with narcolepsy:"
"- other sleep disorders, according to ICSD-2 criteria:"
- sleep related disorder breathing
- behaviourally induced insufficient sleep
- circadian rhythm disorders
- recurrent hypersomnias secondary to medical or psychiatric conditions
- use of sedating medication and antidepressants
"- focal cerebral lesions, indicated by neurological examination and/or brain imaging"
"Note: Clinical assessment should be performed after adequate treatment of the co-morbid conditions, to show that they are not the primary cause of the symptoms."
2. Synonyms / lay terms used
(please search/google/used medical textbooks & literature or lay terms)
Non identified
3. Laboratory tests done specific for event
(please search/google/used medical textbooks & literature)
Specific for narcolepsy: Cerebrospinal fluid (CSF) hypocretin-1 level
4. Diagnostic tests done specific for event
"(please search/google/used medical textbooks & literature) (e.g. echo, X-ray)"
"General: Electro Encephalogram (EEG), Magnetic resonance imaging (MRI)"
"Specific for sleeping disorder: Maintenance of Wakefulness Test (MWT), Epworth Sleepiness Scale (ESS), Poly somnography (PSG), Multiple sleep latency test (MLST) (7)"
Specific for narcolepsy: Cerebrospinal fluid (CSF) hypocretin-1 level
5. Drugs used specific for event treatment 
(please search/google/used medical textbooks & literature): these may be proxies to identify/confirm the event
European Federation of Neurological Societies (7)
"Stimulants for excessive daytime sleepiness (EDS) and irresistible episodes of sleep, anti-depressants for cataplexy and hypnosedative drugs for disturbed nocturnal sleep."
"Modafinil is indicated as first-line EDS and irresistible episodes of sleep, together with behavioral measures"
Sodium oxybate is increasingly used for EDS and sleep attacks.
Sodium oxybate is indicated as first-line treatment of cataplexy.
Antidepressants (either tricyclics or newer antidepressants) are indicated as second-line treatment for cataplexy. 
"American Academy of Sleep Medicine 2007 (8, 9)"
Modafinil (stimulant)
Sodium oxybate
"Amphetamines and methamphetamine,  dextroamfetamine, methylphenidate, and selegiline"
"gamma-hydroxybutyrate GHB, sodium oxybate  (anti-cataplectic) "
"Other anti-cataplectic drugs: Tricyclic antidepressants formerly were the first treatment option for cataplexy. Severe side effects now make them a last resort. Other antidepressants (atomoxetine, clomipramine, fluoxetine, venlafaxine, zimeldine) have been effective and have produced fewer side effects. The use of antidepressants to treat cataplexy is not approved by the FDA."
6. Procedures used specific for event treatment
(please search/google/used medical textbooks & literature) (example surgery) these may be proxies to identify/confirm the event
None
