Guillain Barre
Generated by ADVANCE Code Mapper

History
Step, Arguments
vocabularies, ICD10, ICD10CM, ICD9CM, ICPC2P, RCD
semantic types, T020, T190, T049, T019, T047, T050, T033, T037, T048, T191, T046, T184, T007, T204, T004, T005
initial cuis, C0001272, C0003079, C0003241, C0003617, C0003811, C0004048, C0004134, C0004358, C0004623, C0005516, C0005682, C0006057, C0007584, C0007806, C0007807, C0008059, C0009392, C0009791, C0010268, C0011168, C0011906, C0012546, C0012569, C0013146, C0013362, C0013363, C0013839, C0015385, C0016895, C0017950, C0018378, C0018447, C0018563, C0020651, C0020852, C0021022, C0021270, C0022885, C0023216, C0023222, C0023516, C0023517, C0024264, C0026845, C0027551, C0027597, C0027740, C0027765, C0027769, C0027788, C0027868, C0027950, C0028378, C0028405, C0029089, C0030554, C0030664, C0032113, C0032134, C0032371, C0033095, C0033377, C0034121, C0034571, C0034929, C0035648, C0037943, C0037981, C0038894, C0038895, C0039239, C0039508, C0039712, C0040184, C0043309, C0061099, C0079460, C0079816, C0080274, C0080331, C0085217, C0085297, C0085584, C0085620, C0086143, C0086715, C0151786, C0151857, C0151888, C0152025, C0154017, C0154091, C0154936, C0178602, C0180677, C0199551, C0200125, C0200204, C0201943, C0202087, C0205186, C0205419, C0205494, C0206417, C0221163, C0221444, C0230348, C0231511, C0231800, C0232219, C0234084, C0234146, C0234222, C0234421, C0237766, C0241772, C0242465, C0245333, C0270921, C0270922, C0270934, C0277797, C0278134, C0305845, C0314809, C0332140, C0332218, C0332281, C0332290, C0333348, C0344315, C0347983, C0368582, C0376561, C0393799, C0410000, C0427055, C0427716, C0427874, C0428895, C0430067, C0432186, C0438221, C0439092, C0439662, C0439712, C0442874, C0444500, C0444956, C0445254, C0456695, C0456947, C0456948, C0456949, C0457019, C0460139, C0476273, C0476408, C0489815, C0496930, C0497294, C0501384, C0521026, C0521117, C0521346, C0521367, C0522028, C0522224, C0524465, C0542371, C0543467, C0547043, C0553794, C0558287, C0562381, C0579233, C0587246, C0596002, C0600420, C0612198, C0678544, C0678889, C0680063, C0683325, C0699375, C0707901, C0707989, C0708149, C0728899, C0740230, C0741307, C0751054, C0751401, C0869039, C0871468, C0935587, C0936236, C0978467, C0995754, C1096582, C1114758, C1140618, C1140621, C1145640, C1167988, C1258215, C1262068, C1269897, C1274039, C1280090, C1280538, C1281573, C1292726, C1295728, C1299392, C1299393, C1300574, C1301959, C1304757, C1306345, C1306645, C1442452, C1442465, C1442466, C1448373, C1457907, C1518030, C1518918, C1519815, C1521733, C1548671, C1551576, C1655045, C1704318, C1806780, C1836141, C1882041, C1882326, C1883562, C1947952, C1962945, C2004461, C2020625, C2348575, C2350584, C2698590, C2707247, C2964353, C2982003, C2986472, C3163632, C3176918, C3179154, C3540512, C3542501, C3714514, C3714552, C3817382, C3843496, C3846542
delete concept, C0027769

Concepts
Name, CUI, Vocabulary, Code
Miller Fisher Syndrome, C0393799, ICD10CM, G61.0
Urinary Retention, C0080274, ICD9CM, 788.2
Urinary Retention, C0080274, ICD9CM, 788.20
Deglutition Disorders, C0011168, ICD9CM, 787.2
Deglutition Disorders, C0011168, ICD9CM, 787.20
Weakness, C3714552, ICD9CM, 799.3
Poliomyelitis, C0032371, ICD9CM, 045
Poliomyelitis, C0032371, ICD9CM, 045.9
Diphtheria, C0012546, ICD9CM, 032
Diphtheria, C0012546, ICD9CM, 032.9
Cardiac Arrhythmia, C0003811, ICD9CM, 427
Cardiac Arrhythmia, C0003811, ICD9CM, 427.9
Guillain-Barre Syndrome, C0018378, ICD9CM, 357.0
nervous system disorder, C0027765, ICD9CM, 349.9
Encephalopathies, C0085584, ICD9CM, 348.3
Encephalopathies, C0085584, ICD9CM, 348.30
Diplopia, C0012569, ICD9CM, 368.2
"Hypotension, Orthostatic", C0020651, ICD9CM, 458.0
Neuromuscular Diseases, C0027868, ICD9CM, 358
Neuromuscular Diseases, C0027868, ICD9CM, 358.9
Facial Paresis, C0427055, ICD9CM, 438.83
Facial Paresis, C0427055, ICD9CM, 781.94
Dysarthria, C0013362, ICD9CM, 438.13
Dysarthria, C0013362, ICD9CM, 784.51
Paralysed, C0522224, ICD9CM, 344.9
Benign neoplasm of bladder, C0154017, ICD9CM, 223.3
Carcinoma in situ of bladder, C0154091, ICD9CM, 233.7
Neoplasm of uncertain or unknown behavior of bladder, C0496930, ICD9CM, 236.7
Anisocoria, C0003079, ICD9CM, 379.41
Pupillary abnormality, C0154936, ICD9CM, 364.75
Urinary Retention, C0080274, ICPC2P, U05010
Urinary Retention, C0080274, ICPC2P, U05016
Urinary Retention, C0080274, ICPC2P, U08001
Urinary Retention, C0080274, ICPC2P, U08002
Deglutition Disorders, C0011168, ICPC2P, D21003
Deglutition Disorders, C0011168, ICPC2P, D21004
Weakness, C3714552, ICPC2P, A04002
Weakness, C3714552, ICPC2P, A04011
Weakness, C3714552, ICPC2P, A04022
Poliomyelitis, C0032371, ICPC2P, N70004
Diphtheria, C0012546, ICPC2P, R83001
Cardiac Arrhythmia, C0003811, ICPC2P, K80012
Cardiac Arrhythmia, C0003811, ICPC2P, K84002
Cardiac Arrhythmia, C0003811, ICPC2P, K84019
Bacterial Infections, C0004623, ICPC2P, A78005
Guillain-Barre Syndrome, C0018378, ICPC2P, N94005
nervous system disorder, C0027765, ICPC2P, N99037
Encephalopathies, C0085584, ICPC2P, N99042
Diplopia, C0012569, ICPC2P, F05002
Diplopia, C0012569, ICPC2P, F05013
Ataxia, C0004134, ICPC2P, N29011
"Hypotension, Orthostatic", C0020651, ICPC2P, K88003
"Hypotension, Orthostatic", C0020651, ICPC2P, K88005
Facial Paresis, C0427055, ICPC2P, N18001
Dysarthria, C0013362, ICPC2P, N19006
Pain in lower limb, C0023222, ICPC2P, L14005
Pain in lower limb, C0023222, ICPC2P, L14006
Paralysed, C0522224, ICPC2P, N18004
Paralysed, C0522224, ICPC2P, N18010
Benign neoplasm of bladder, C0154017, ICPC2P, U78001
Paresthesia, C0030554, ICPC2P, N05006
Paresthesia, C0030554, ICPC2P, N06015
Depressed mood, C0344315, ICPC2P, P03017
Respiratory distress, C0476273, ICPC2P, R04014
Infection, C3714514, ICPC2P, A78051
Infection, C3714514, ICPC2P, A87039
Neuropathy, C0442874, ICPC2P, N94010
Ileus, C1258215, ICPC2P, D99051
Sinus Tachycardia, C0039239, ICPC2P, K84015
Absence of sensation, C0278134, ICPC2P, N06001
Muscle Weakness, C0151786, ICPC2P, L19012
Ophthalmoplegia, C0029089, ICPC2P, F99040
Drug abuse, C0013146, ICPC2P, P19024
Urinary Retention, C0080274, RCD, R082.
Urinary Retention, C0080274, RCD, R0824
Urinary Retention, C0080274, RCD, Ua1sm
Urinary Retention, C0080274, RCD, XE0rS
Deglutition Disorders, C0011168, RCD, R072.
Deglutition Disorders, C0011168, RCD, R0720
Deglutition Disorders, C0011168, RCD, R072z
Deglutition Disorders, C0011168, RCD, Xa4JZ
Deglutition Disorders, C0011168, RCD, XM08J
Weakness, C3714552, RCD, R2y3.
Weakness, C3714552, RCD, X76Am
Weakness, C3714552, RCD, X80xc
Weakness, C3714552, RCD, XM03n
Weakness, C3714552, RCD, XM06m
Poliomyelitis, C0032371, RCD, A40..
Poliomyelitis, C0032371, RCD, A40z.
Poliomyelitis, C0032371, RCD, Ayu81
Poliomyelitis, C0032371, RCD, Xa97c
Diphtheria, C0012546, RCD, A32..
Diphtheria, C0012546, RCD, A32z.
Diphtheria, C0012546, RCD, Ayu38
Cardiac Arrhythmia, C0003811, RCD, G57..
Cardiac Arrhythmia, C0003811, RCD, G57z.
Cardiac Arrhythmia, C0003811, RCD, X77BB
Bacterial Infections, C0004623, RCD, Ayu3X
Bacterial Infections, C0004623, RCD, X70Gv
Bacterial Infections, C0004623, RCD, Xa85o
Bacterial Infections, C0004623, RCD, XE0TG
Guillain-Barre Syndrome, C0018378, RCD, F370.
Guillain-Barre Syndrome, C0018378, RCD, F3700
Guillain-Barre Syndrome, C0018378, RCD, F3701
Guillain-Barre Syndrome, C0018378, RCD, F370z
nervous system disorder, C0027765, RCD, X000E
nervous system disorder, C0027765, RCD, Xa3fJ
Encephalopathies, C0085584, RCD, F283.
Polyneuropathy, C0152025, RCD, F366.
Polyneuropathy, C0152025, RCD, Fyu7C
Polyneuropathy, C0152025, RCD, XaB3q
Diplopia, C0012569, RCD, F482.
Ataxia, C0004134, RCD, R0130
Ataxia, C0004134, RCD, X76q7
Ataxia, C0004134, RCD, XM0z3
"Hypotension, Orthostatic", C0020651, RCD, G870.
Neuromuscular Diseases, C0027868, RCD, F38..
Neuromuscular Diseases, C0027868, RCD, F38z.
Facial Paresis, C0427055, RCD, X76nB
Dysarthria, C0013362, RCD, R0450
Dysarthria, C0013362, RCD, Ub1TM
Pain in lower limb, C0023222, RCD, X75sA
Paralysed, C0522224, RCD, F24z.
Paralysed, C0522224, RCD, XM03m
Benign neoplasm of bladder, C0154017, RCD, B7D3.
Carcinoma in situ of bladder, C0154091, RCD, B837.
Neoplasm of uncertain or unknown behavior of bladder, C0496930, RCD, XE1wK
Paresthesia, C0030554, RCD, R0207
Paresthesia, C0030554, RCD, XM07I
Depressed mood, C0344315, RCD, X00SO
Depressed mood, C0344315, RCD, XE0re
Reduced vital capacity, C0476408, RCD, R1422
Reduced vital capacity, C0476408, RCD, XM1Bs
Respiratory distress, C0476273, RCD, R0606
Respiratory distress, C0476273, RCD, XM07z
Infection, C3714514, RCD, X79pw
Anisocoria, C0003079, RCD, Xa8Hi
Botulism, C0006057, RCD, F3812
Pupillary abnormality, C0154936, RCD, F447B
Neuropathy, C0442874, RCD, XC0eJ
Congenital absence of tendon, C0432186, RCD, XE2ec
Observation of reflex, C0596002, RCD, X75Zt
Observation of reflex, C0596002, RCD, X77KO
Miller Fisher Syndrome, C0393799, RCD, X00AV
Streptococcus agalactiae, C0579233, RCD, X73GH
Streptococcus agalactiae, C0579233, RCD, Xa8ah
Ileus, C1258215, RCD, Xa0lj
Sinus Tachycardia, C0039239, RCD, G57y7
Absence of sensation, C0278134, RCD, X75qv
Muscle Weakness, C0151786, RCD, XM03n
Hysterical paralysis, C0237766, RCD, E2014
Toxic polyneuropathy, C0270934, RCD, X00BG
Apyrexial, C0277797, RCD, Xa1kS
Ptosis, C0033377, RCD, XC0Au
Overlap syndrome, C0410000, RCD, Xa0AS
Labile blood pressure, C0428895, RCD, X779h
White blood cell count normal, C0438221, RCD, 42H1.
Problems with speech, C0542371, RCD, ZV401
Victim of abuse finding, C0562381, RCD, Ua2A5
Weakness of limb, C0587246, RCD, XaC1U
Bowel dysfunction, C2004461, RCD, X3001

Case definition
1. Event definition & validity classifications

"Guillain–Barré syndrome, an acute immune-mediated neuropathy, is manifested as a spectrum of peripheral-nerve disorders with several clinical variants that are characterized by the distribution of weakness of the limbs or cranial-nerve–innervated muscles, underlying pathological abnormalities, and associated autoantibodies (1) . The cardinal clinical features of GBS are progressive, mostly symmetric muscle weakness and absent or depressed deep tendon reflexes. The weakness can vary from mild difficulty with walking to nearly complete paralysis of all extremity, facial, respiratory, and bulbar muscles. Severe respiratory muscle weakness necessitating ventilatory support develops in about 30 percent, and dysautonomia occurs in 70 percent of patients. GBS usually progresses over a period of about two weeks "

"Acute inflammatory demyelinating polyneuropathy (AIDP) is the most common variant of GBS in North America, Europe, and most of the developed world. The Miller Fisher syndrome (MFS) is a GBS variant characterized by ophthalmoplegia with ataxia and areflexia."

"There are no pathognomonic clinical characteristics for Guillain-Barre´ syndrome, and at present no biomarkers are available to discriminate Guillain-Barre´ syndrome from disorders resembling Guillain-Barre´ syndrome."


Brighton Collaboration Criteria(2)

"Clinical case definitions: Guillain–Barré syndrome (GBS)3,4,5"
Level 1 of diagnostic certainty
"• Bilateral AND flaccid weakness of the limbs6,7,8"
AND
• Decreased or absent deep tendon reflexes in weak limbs9
AND
• Monophasic illness pattern10 AND interval between onset and
nadir of weakness between 12 h and 28 days AND subsequent
clinical plateau11
AND
• Electrophysiologic findings consistent with GBS12
AND
"• Cytoalbuminologic dissociation (i.e., elevation of CSF protein"
level above laboratory normal value AND CSF total white cell
count <50 cells/l)13
AND
• Absence of an identified alternative diagnosis for weakness (see
Appendix A.3)3.
Level 2 of diagnostic certainty
"• Bilateral AND flaccid weakness of the limbs6,7,8"
AND
• Decreased or absent deep tendon reflexes in weak limbs9

AND
• Monophasic illness pattern10 AND interval between onset and
nadir of weakness between 12 h and 28 days AND subsequent
clinical plateau11
AND
• CSF total white cell count <50 cells/l (with or without CSF protein
elevation above laboratory normal value)13
OR
"• IF CSF not collected or results not available, electrophysiologic"
studies consistent with GBS12
AND
• Absence of identified alternative diagnosis for weakness (see
Appendix A.3)3.
Level 3 of diagnostic certainty
"• Bilateral AND flaccid weakness of the limbs6,7,8"
AND
• Decreased or absent deep tendon reflexes in weak limbs9
AND
• Monophasic illness pattern10 AND interval between onset and
nadir of weakness between 12 h and 28 days AND subsequent
clinical plateau11
AND
• Absence of identified alternative diagnosis for weakness (see
Appendix A.3)3.
Clinical case definitions: Fisher syndrome (FS)14
Level 1 of diagnostic certainty
• Bilateral ophthalmoparesis AND bilateral reduced or absent tendon
"reflexes, AND ataxia15"
AND
• Absence of limb weakness16
AND
• Monophasic illness pattern AND interval between onset and
nadir of weakness between 12 h and 28 days AND subsequent
"clinical plateau17,18"
AND
"• Cytoalbuminologic dissociation (i.e., elevation of cerebrospinal"
protein above the laboratory normal AND total CSF white cell
count <50 cells/l])19
AND
"• Nerve conduction studies are normal, OR indicate involvement"
of sensory nerves only20
AND
• No alterations in consciousness or corticospinal tract signs21
AND
• Absence of identified alternative diagnosis.22
Level 2 of diagnostic certainty
• Bilateral ophthalmoparesis AND bilateral reduced or absent tendon
reflexes AND ataxia15
AND
• Absence of limb weakness16
AND
• Monophasic illness pattern AND interval between onset and
nadir of weakness between 12 h and 28 days AND subsequent
"clinical plateau17,18"
AND
• Cerebrospinal fluid (CSF) with a total white cell count <50
cells/l])19 (with or without CSF protein elevation above laboratory
normal value)
OR
"• Nerve conduction studies are normal, OR indicate involvement"
of sensory nerves only20
AND
• No alterations in consciousness or corticospinal tract signs21
AND
• Absence of identified alternative diagnosis22.
Level 3 of diagnostic certainty
• Bilateral ophthalmoparesis AND bilateral reduced or absent tendon
reflexes AND ataxia15
AND
• Absence of limb weakness16
AND
• Monophasic illness pattern AND interval between onset and
nadir of weakness between 12 h and 28 days AND subsequent
"clinical plateau17,18"
AND
• No alterations in consciousness or corticospinal tract signs21
AND
• Absence of identified alternative diagnosis22.

3 If an alternative diagnosis explaining flaccid weakness/paralysis is present
"(Appendix A.3), a diagnosis of Guillain–Barré syndrome is excluded. However, in"
"many, if not most cases, a comprehensive documentation of testing for various other"
etiologies will either be incomplete or unavailable. These case definitions are provided
to give guidance in the absence of detailed information on investigations for
alternative etiologies of flaccid paralysis.
4 It is recognized that there are several clinical syndromes which are considered
as part of the spectrum of Guillain–Barré syndrome that may not be captured under
"these case definitions. However, these are rare and comprise under 1% of overall"
"GBS cases. Thus, the number of cases missed by these definitions is considered to be"
"extremely low. An exception to this is the FS of ophthalmoplegia, ataxia, and loss of"
tendon reflexes which is generally considered to be a subtype of GBS (see FS case
definition).
5 The clinical and electrophysiologic criteria specified in this document were
designed to be applicable to all ages. The Working Group recognizes that neurologic
features in infants and young children are continually developing and that
"assessment of infants can be difficult. However, GBS in children under 6 months"
"of age is a very uncommon occurrence. When possible, infants and children"
under 2 years of age should preferably be evaluated by a clinician familiar with the
"neurologic evaluation of young children, and such evaluations should be performed"
"in an age-appropriate fashion, taking into account the changing neurologic features"
in the developing infant.
"6 Weakness is usually, but not always, symmetric in nature, and usually has a"
"pattern of progression from legs to arms (ascending). However, other patterns of"
"progression may occur (e.g., beginning in the arms). The degree of weakness can"
"range from mild to moderate to severe, i.e., complete paralysis."
7 Respiratory or cranial nerve-innervated muscles may also be involved.
8 It is important that strength be assessed in a manner that takes into account
"subject age, sex, and level of functioning."
9 Decreased or absent tendon reflexes may also be seen in limbs without weakness.
"However, to meet case definition criteria, decreased or absent tendon reflexes"
must be observed in weak limbs.
"10 Fluctuations in level of weakness, before reaching nadir, or during the plateau or"
"improvement phases, occur insomecases, usually associated with the use of diseasemodifying"
therapies. Such fluctuations usually occur within the first 9 weeks after
onset  and are followed by eventual improvement.
11 The eventual outcome is either stabilization at nadir OR subsequent improvement
OR death.
12 Electrophysiologic patterns consistent with polyneuropathy of the types
described for GBS . Electrophysiologic studies performed sooner than 7 days
after weakness onset may be normal and should thus be repeated at a later time if
"possible, and “normal” studiesmayoccur in otherwise typical cases of GBS. However,"
cases with persistently “normal” studies will not meet Level 1 criteria.
13 CSF (cerebrospinal fluid) protein concentrations should be elevated above what
is considered normal reference values for the testing laboratory. CSF may be “normal”
in otherwise typical cases of GBS; this is particularly true within the first week
"of illness. However, cases with persistently “normal” CSF, or CSF with ≥50 WBC, will"
not meet Level 1 criteria.
"14 If an alternative diagnosis explaining the triad, including (but not limited to)"
"botulism, diphtheria, and Wernicke’s encephalopathy, is present (Appendix A.3), a"
"diagnosis of FS is excluded. However, in many, if not most cases, a comprehensive"
documentation of testing for various other etiologies will either be incomplete or
unavailable. These case definitions are provided to give guidance in the absence of
detailed information on investigations for alternative etiologies of this clinical triad.
"15 Ophthalmoparesis, tendon reflexes, and ataxia are relatively symmetric. Ptosis"
or pupillary abnormalities may be present in the setting of the ophthalmoplegia.
The clinical severity of each component may vary from partial to complete. Hypo- or
"areflexia tends to be diffuse/global, and symmetric. However, selective involvement"
of upper or lower extremity reflexes may be seen. Facial and bulbar weakness may
also be features.
16 Presence of limb weakness would suggest a diagnosis of Guillain-Barré syndrome
(GBS) (see case definition for GBS).
17 Improvement of symptoms may occur with or without treatment.
18 The eventual outcome is either stabilization of symptoms at nadir OR subsequent
improvement OR death.
19 CSF protein levels should be elevated above what is considered normal reference
values for the testing laboratory. CSF may be “normal” in otherwise typical
"cases of FS; this is particularly true in the first week of illness. However, cases with"
persistently “normal” CSF will not meet Level 1 criteria.
20 Motor nerve conduction abnormalities in this clinical setting likely indicate
GBS/FS overlap.

Original case definition (1916)(3)
Rapidly progressive motor disorder associated with absent reflexes and a raised CSF protein in the absence of the expected cerebrospinal fluid (CSF) pleocytosis that characterised poliomyelitis.

"clinically defined syndrome characterised by motor difficulty, absence of deep tendon reflexes, paraesthesias without objective sensory loss, and increased CSF albumin with absence of cellular reaction (albuminocytological dissociation)."

The National Institute of Neurological Disorders and Stroke (NINDS) from 1990(4)

Required features
Progressive weakness in both arms and legs
Areflexia (or hyporeflexia).
Features supportive of diagnosis
Progression of symptoms over days to 4 weeks
Relative symmetry
Mild sensory signs or symptoms
"Cranial nerve involvement, especially bilateral facial weakness"
Recovery beginning 2 to 4 weeks after progression ceases
Autonomic dysfunction
Absence of fever at onset
Typical CSF and EMG/nerve conduction studies features.
Features casting doubt on the diagnosis
Asymmetrical weakness
Persistent bladder and bowel dysfunction
Bladder or bowel dysfunction at onset
>50 mononuclear leukocytes/mm^3 or presence of polymorphonuclear leukocytes in CSF
Distinct sensory level.
Features that rule out the diagnosis
Hexacarbon abuse
Abnormal porphyrin metabolism
Recent diphtheria infection
Lead intoxication
"Other similar conditions: poliomyelitis, botulism, hysterical paralysis, toxic neuropathy."

BMJ Best Practice Key diagnostic factors(5)

"Diagnosis is made by pattern recognition. The classic presentation is a progressive symmetrical muscle weakness affecting lower extremities before upper extremities, and proximal muscles before distal muscles, accompanied by paraesthesias in the feet and hands. The paralysis is typically flaccid with areflexia and progresses acutely over days, with 73% reaching a lowest point within 1 week and 98% by 4 weeks. The progressive phase is followed by a plateau phase of persistent, unchanging symptoms lasting a variable duration before recovery begins. Mild dysautonomia occurs in 70% and causes sinus tachycardia, labile BP, postural hypotension, urinary retention, ileus, and very rarely life-threatening cardiac arrhythmia."

Risk factors: preceding viral or bacterial infection
"(About a quarter of patients with Guillain-Barré syndrome have had a recent Campylobacter jejuni infection, and axonal forms of the disease are especially common in these people.) "

"Common: Muscle weakness, respiratory distress, speech problems, paraesthesia, back/leg pain, areflexia/hyporeflexia, facial weakness, bulbar dysfunction causing oropharyngeal weakness, extra-ocular muscle weakness, facial droop, diplopia, dysarthria, dysphagia, dyautonomia"
"Uncommon: anisocoria, non-reactive pupil, ophthalmoplegia"
Other diagnostic factors:
"Common: ptosis, altered level of consciousness"
Uncommon: ataxia

Necessary criteria for clinical diagnosis: (6)
Sub-acutely developing flaccid paralysis over <4 weeks
Symmetrical weakness from the onset of the symptoms
Diminished or absent reflexes
No other aetiology for flaccid weakness identified.

2. Synonyms / lay terms used
(please search/google/used medical textbooks & literature or lay terms)
Class: Neuromuscular disorder. Demyelinating neuropathy. Inflammatory disorders of the peripheral nervous system.  Immune-mediated neurological disease
"Synonym: Acute inflammatory neuropathy, acute immune-mediated polyneuropathies"
Subtypes (7): 
Acute inflammatory demyelinating polyradiculoneuropathy (AIDP) most commonly encountered
Acute motor axonal neuropathy (AMAN)
Acute Motor and Sensory Axonal Neuropathy (AMSAN)
Variants: 
Miller Fisher syndrome (MFS) is generally considered to be allied to GBS although it has a uniquely tight association with anti-GQ1b antibodies
Bulbar and pharyngeal-brachial variants

Abbreviations: GBS
3. Laboratory tests done specific for event
(please search/google/used medical textbooks & literature)
No biomarkers are available to discriminate Guillain-Barre´ syndrome from disorders resembling Guillain-Barre´ syndrome (8)
Cerebrospinal fluid examination is needed largely to exclude alternative diagnoses. The CSF protein is classically elevated. 
"The typical finding with lumbar puncture in patients with GBS is an elevated cerebrospinal fluid (CSF) protein with a normal white blood cell count. This finding is called albuminocytologic dissociation, and is present in up to 66 percent of patients with GBS at one week after onset of symptoms.(1)"
"As noted, the CSF cell count is typically normal, ie, less than 5 cells/mm3. However, a minority of patients with GBS have mildly elevated CSF cell counts."
Testing for serum IgG antibodies to GQ1b is useful for the diagnosis of MFS. Testing for other glycolipid antibodies has no clinical role. 
